State,district,State and District,date,confirmed,active,recovered,deceased,New Confirmed,New active,New recovered,New deceased,State_Code
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",5/13/2020,118,65,49,4,3,2,1,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",5/14/2020,118,62,52,4,0,-3,3,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",5/15/2020,122,62,56,4,4,0,4,0,AP
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh",5/16/2020,122,25,93,4,0,-37,37,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",4/21/2020,53,49,4,0,53,49,4,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",4/22/2020,59,55,4,0,6,6,0,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",4/23/2020,73,62,11,0,14,7,7,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",4/24/2020,73,62,11,0,0,0,0,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",4/25/2020,73,62,11,0,0,0,0,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",4/26/2020,73,60,13,0,0,-2,2,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",4/27/2020,73,57,16,0,0,-3,3,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",4/28/2020,74,58,16,0,1,1,0,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",4/29/2020,77,61,16,0,3,3,0,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",4/30/2020,80,64,16,0,3,3,0,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",5/1/2020,80,58,22,0,0,-6,6,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",5/2/2020,80,56,24,0,0,-2,2,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",5/3/2020,81,44,37,0,1,-12,13,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",5/4/2020,82,37,45,0,1,-7,8,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",5/5/2020,82,34,48,0,0,-3,3,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",5/6/2020,82,14,68,0,0,-20,20,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",5/7/2020,82,14,68,0,0,0,0,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",5/8/2020,85,11,74,0,3,-3,6,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",5/9/2020,96,22,74,0,11,11,0,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",5/10/2020,112,38,74,0,16,16,0,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",5/11/2020,121,47,74,0,9,9,0,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",5/12/2020,131,57,74,0,10,10,0,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",5/13/2020,142,68,74,0,11,11,0,0,AP
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh",5/14/2020,151,74,77,0,9,6,3,0,AP
